n,N,nb,s,DIST,10,100,1000,10000,100000
16215,45,1024,1,uniform,0.681359075009823,0.455650717020035,0.810287788510323,4.98796886205673,46.2967788875103
16215,45,1024,4,normal,0.73733564466238,0.738617472350597,2.16509497910738,17.2834064736962,168.333871796727
16215,45,1024,4,gamma,0.827935874462128,0.808858513832092,3.6991828083992,27.2565382570028,251.045996360481
16215,45,1024,4,uniform,0.742870636284351,0.519418872892857,0.957687348127365,5.42441518604755,55.1102890521288
22100,50,128,1,normal,0.774599820375443,0.630403034389019,1.78064112365246,13.3075827360153,130.069396018982
22100,50,128,1,gamma,0.930517047643662,0.756475612521172,2.49465674161911,19.9669153541327,192.183413296938
22100,50,128,1,uniform,0.856252931058407,0.542817272245884,0.990551359951496,4.79769492149353,50.157590828836
22100,50,128,4,normal,0.942874476313591,0.776651479303837,2.46683405339718,20.0350282341242,189.860635921359
22100,50,128,4,gamma,1.05104824900627,0.96943037956953,3.58795647323132,29.6874443739653,283.664532229304
22100,50,128,4,uniform,0.938506014645099,0.647768430411815,1.11427598446608,6.39403364807367,66.4423218220472
22100,50,1024,1,normal,0.941499538719654,0.75369068980217,2.35729977488518,18.6023163571954,181.45695014298
22100,50,1024,1,gamma,1.04208429157734,1.22823185473681,3.63029453158379,28.1382091492414,269.704811394215
22100,50,1024,1,uniform,0.928937211632729,0.627319797873497,1.08965688198805,6.21690294146538,64.4570859000087
22100,50,1024,4,normal,1.00948330760002,0.878098569810391,2.96923537552357,23.9551268741488,230.432196065783
22100,50,1024,4,gamma,1.13608407974243,1.11619780212641,4.89916846901178,36.76380674541,350.720363371074
22100,50,1024,4,uniform,1.00176523625851,0.716333866119385,1.30270881205797,7.49578928947449,76.8935548514128
