r,s,n,N,NB,MST,MLB,EFT,NC,NC TIME,OL-I,OL-I TIME,OL-II,OL-II TIME,BL,BL TIME,GCP,GCP TIME,HAL,HAL TIME
32,1,22100,50,128,319128.806400109,9670.5698909124,51758.7917199979,51814.002575998,1.03736880139899,51905.2274799978,1.04227781413699,54184.8279039978,1.06181988135226,51485.5526959978,106.870487823124,50931.5489999998,0.990323057355361,50559.4567519998,1.01620424517515
32,4,22100,50,128,319128.806400109,8864.68906666969,34125.9898959988,35311.0367519988,1.00866412632812,34358.9697679988,1.05089624024605,35798.4062079987,1.03775795235936,33764.4478399988,106.564591331215,33444.3619999999,1.01269305825679,33187.0895039999,1.02210969155639
32,1,35,5,1024,23743.28876,11265.669048,23743.28876,23743.28876,0.996280629631633,23743.28876,2.06536268729377,23743.28876,2.16009087466869,23743.28876,6.68367609671661,23743.28876,1.02425271812625,23743.28876,1.07431816952453
32,4,35,5,1024,23743.28876,11265.669048,20777.941408,20777.941408,1.00398069383534,20777.941408,1.17685625405886,20777.941408,1.12138710944703,20777.941408,6.6389314262349,20777.941408,1.03040239883906,20777.941408,1.08599781923721
32,1,220,10,1024,125515.55272,23866.973008,117035.20908,117499.4708,1.00237432198923,117035.20908,1.1935015044667,118364.87064,1.13013456804126,118364.87064,13.4814058590805,117035.20908,1.02664407186747,119649.289296,1.06882838404932
32,4,220,10,1024,125515.55272,23866.973008,53338.832592,53338.832592,0.997605746412182,53338.832592,1.19406558967242,53338.832592,1.11811973354545,53338.832592,13.6238342359178,53338.832592,1.02193786696917,53338.832592,1.08022874295198
32,1,680,15,1024,361114.419880001,36468.2769679999,302103.057512001,302549.438536001,1.00938227807746,302103.057512001,1.16748965150017,303915.943816001,1.11466419308834,303915.943816001,25.3706941337869,302805.286944,1.02724874893802,305027.603528001,1.080637138608
32,4,680,15,1024,361114.419880001,36468.2769679999,107158.36444,107518.113104,1.00258177007319,107518.113104,1.16255453503036,107518.113104,1.10974454326656,107518.113104,25.1064352580875,107017.007664,1.02717440535903,107518.113104,1.07240821229281
32,1,1540,20,1024,786337.518239997,49069.5809279999,627465.400407999,628466.742863999,1.01330938373293,626864.502192,1.13982559547977,629805.885935999,1.1731402188254,629805.885935999,41.1625297441484,621944.663295998,1.02390660399786,629407.748607999,1.07162686631186
32,4,1540,20,1024,786337.518239997,49069.5809279999,206909.353848,206909.353848,1.01795710263731,206909.353848,1.13840193490672,207355.45784,1.09623001683518,207355.45784,40.1215377884032,206520.098552,1.02254906941204,209978.517592,1.06381159092513
