r,s,n,nt,NB,MST,MLB,EFT,NC,NC TIME,OL-I,OL-I TIME,OL-II,OL-II TIME,BL,BL TIME,GCP,GCP TIME,HAL,HAL TIME
32,4,4960,30,128,81541.77024000094,4747.617279999944,10110.114383999986,10438.281151999987,0.8789217576367656,10311.469495999998,0.9517011051619044,10521.29303199997,0.9337102408452048,10976.132880000041,68.51382752567355,9243.668000000009,0.9808141021947492,9435.17728000007,0.9095190490715362
32,1,7770,35,128,122245.29408001219,5551.549439999934,19961.040951999545,20227.279047999593,1.0233781582636488,20417.754079999537,1.0896355628603227,22065.23699199943,1.0699201802868008,19383.879407999557,92.30815853158146,18902.987999999943,1.1047474611746813,18780.178751999945,1.052172367091888
32,4,7770,35,128,122245.29408001219,5551.549439999934,13813.031527999972,14686.28230399987,1.0032920095218598,14146.892679999934,1.065868195543522,15015.578143999837,1.1227112149395104,14649.556071999921,90.15476444599052,13166.480999999983,1.1033132173623128,13577.426991999848,1.1584920698925438
32,1,11480,40,128,174467.87072003394,6355.481599999925,28555.817015999084,28807.45980799916,1.0167950769496603,28500.990351999088,1.1609039816672766,30480.572415998915,1.0812058496191486,27794.613247999117,99.59865525532372,27120.596999999885,1.0111978842387608,27009.66675199989,1.0610734358442226
32,4,11480,40,128,174467.87072003394,6355.481599999925,19468.49719999963,19652.771623999597,1.0346608564784239,19303.354511999572,1.0493304888920931,20769.545055999588,1.032331621804883,19466.562111999607,96.7580586278445,18422.491999999944,1.0023946192895097,18378.09175199995,1.0425795741246304
32,1,16215,45,128,239624.1561600624,7261.338065456437,38831.09987999855,39265.01538399873,1.0384351309602173,38780.074215998546,1.0334279610313908,41067.17900799853,1.029514334549777,38572.38568799861,103.55538598449893,37551.04999999983,1.0010368568960772,37482.786751999854,1.0205867830619326
32,4,16215,45,128,239624.1561600624,7159.413759999915,25918.762967999304,27037.778447999226,1.0070771901602378,26240.448175999227,1.0433680740787512,27067.955911999183,1.036449854025251,25854.482375999247,102.0716012001627,25047.044999999904,1.08415465271945,25033.691623999875,1.0262727965023182
32,1,22100,50,128,319128.806400109,9670.569890912395,51758.791719997884,51814.00257599801,1.0373688013989866,51905.22747999784,1.0422778141369893,54184.8279039978,1.0618198813522586,51485.552695997845,106.87048782312411,50931.54899999976,0.9903230573553615,50559.456751999795,1.0162042451751456
32,4,22100,50,128,319128.806400109,8864.689066669695,34125.989895998806,35311.0367519988,1.008664126328116,34358.96976799877,1.0508962402460547,35798.40620799871,1.0377579523593599,33764.447839998815,106.5645913312146,33444.361999999855,1.0126930582567946,33187.089503999865,1.0221096915563868
32,1,35,5,1024,23743.288759999978,11265.66904799998,23743.288759999985,23743.288759999985,0.996280629631633,23743.288759999985,2.065362687293774,23743.288759999985,2.160090874668686,23743.288759999985,6.683676096716612,23743.288759999985,1.0242527181262508,23743.288759999985,1.0743181695245307
