n,N,nb,s,MC10 PATH TIME,MC10 NPATHS,MC10 MU,MC10 VAR,MC10 KS,SIM10-I MU,SIM10-I VAR,SIM10-I KS,SIM10-I TIME,SIM10 MU,SIM10 VAR,SIM10 KS,SIM10 TIME,DOM10 PATH TIME,DOM10-I MU,DOM10-I VAR,DOM10-I KS,DOM10-I TIME,DOM10 MU,DOM10 VAR,DOM10 KS,DOM10 TIME,MC100 PATH TIME,MC100 NPATHS,MC100 MU,MC100 VAR,MC100 KS,SIM100-I MU,SIM100-I VAR,SIM100-I KS,SIM100-I TIME,SIM100 MU,SIM100 VAR,SIM100 KS,SIM100 TIME,DOM100 PATH TIME,DOM100-I MU,DOM100-I VAR,DOM100-I KS,DOM100-I TIME,DOM100 MU,DOM100 VAR,DOM100 KS,DOM100 TIME
680,15,1024,1,0.023720271885395,3,302242.115720164,77936.515455027,0.29673,302143.898536357,67575.4107083924,0.11949,0.025687396526337,302142.336075333,56386.6848851712,0.11888,0.028160914778709,0.067074052989483,302330.617874079,359262.046963566,0.066,0.070049054920673,302187.782958409,159150.32593162,0.08223,0.083677351474762,0.051994122564793,12,302214.910746008,153179.409485888,0.12112,302247.822817695,173636.813796004,0.02888,0.055367030203342,302221.036961805,169198.784320693,0.05363,0.074177615344524,0.600428253412247,302892.76722068,717146.180480092,0.51989,0.635747477412224,302237.379784522,214506.558081388,0.04871,1.1935276761651
680,15,1024,4,0.022498041391373,10,107372.37498046,54869.8128613424,0.16795,107562.498435009,38040.124348569,0.30433,0.025867238640785,107312.661398306,74670.2691141315,0.15075,0.046389825642109,0.080215379595757,107599.521676208,31072.7832538068,0.37643,0.083549708127975,107320.766556442,80544.3961115239,0.12778,0.103948473930359,0.031170435249805,63,107434.426963873,103523.216527977,0.10117,107762.375321402,23341.2133066621,0.64349,0.076857544481754,107376.737892854,82098.0925272392,0.06785,0.955291964113712,0.591252453625202,107808.445637904,21784.3180757387,0.71302,0.66489664465189,107392.575030631,77582.2907527201,0.02813,2.99644651263952
1540,20,128,1,0.044414274394512,10,5857.32059240753,841.08872615679,0.30084,5814.55279220423,1006.59294085258,0.58529,0.048362374305725,5804.15838806407,1474.41776895962,0.6255,0.078230150043964,0.116383537650108,5850.19615531425,815.956417316178,0.23016,0.120251826941967,5816.48450869132,1656.54198796394,0.52237,0.150669515132904,0.061922043561935,96,5866.72987321379,1076.56521387694,0.04177,5869.16662943851,535.175686210545,0.15311,0.142702616751194,5842.60525423062,1126.47633275153,0.28692,3.09331233799458,1.2149822562933,5880.88220363536,444.322847173653,0.3253,1.30113685876131,5835.36420756523,1326.75354404256,0.35871,4.62913808226585
1540,20,128,4,0.06391778588295,10,4869.87087755811,333.357137519931,0.1528,4819.8745083943,449.218784449564,0.80428,0.066192150115967,4814.46693532136,668.165511657461,0.79919,0.075678363442421,0.108644999563694,4845.60295128399,214.128941923831,0.56998,0.110773995518684,4825.69882819597,572.247918362363,0.71095,0.118969976902008,0.065407447516918,100,4867.7382213596,392.442356707669,0.10411,4853.30685930169,234.888600293108,0.44974,0.115039646625519,4843.0352699346,462.038697867463,0.51844,1.17612133175135,1.07926403731108,4867.09396559369,140.747891054698,0.23221,1.12418044358492,4840.18295169936,450.278256085355,0.57995,2.07464677840471
1540,20,1024,1,0.069863252341747,5,628363.804285198,1623182.45995956,0.24513,628038.707618808,1564904.26633232,0.05127,0.074239820241928,628048.764364757,1609977.7006842,0.06417,0.089844316244125,0.266308180987835,629338.304197679,3189778.78103329,0.41208,0.271802149713039,627870.020931607,1168601.84513501,0.14071,0.304968893527985,0.14898144453764,12,628131.120680113,1462147.0609019,0.06684,628340.227228632,2015605.72583794,0.08734,0.154898457229137,628121.634260426,1904743.67197614,0.04505,0.208035439252853,2.48188609629869,631801.510910208,2561808.33409708,0.82294,2.52846106141806,628045.857393711,1666654.17621119,0.09578,3.50514234602451
1540,20,1024,4,0.067051269114017,10,208841.327338623,1583446.13360366,0.31157,208288.950152872,978350.223165961,0.03963,0.0700503885746,207986.172570893,1074693.46335376,0.14162,0.084528848528862,0.244318522512913,207355.94094868,38186.4909948177,0.61188,0.252435065805912,207064.611461518,86138.6146911116,0.66891,0.355717666447163,0.072397999465466,38,208345.548651772,1074018.04370152,0.06263,209204.479694042,771044.51120007,0.3979,0.105587266385555,208322.114652035,1100251.81995209,0.02307,0.507174149155617,2.45977520942688,208662.787575248,918093.801575844,0.21053,2.57888638973236,208274.842118615,1118548.77911232,0.04422,13.9351141899824
2925,25,128,1,0.101597495377064,10,9054.36415726828,3281.63349966199,0.28569,8963.10868290177,1673.91964071466,0.84273,0.10698676854372,8948.80181786659,2275.32014702229,0.86337,0.16541825979948,0.301159791648388,9004.4889441862,891.585530924882,0.70457,0.308678194880485,8964.0841458824,2245.53063159695,0.80432,0.415022686123848,0.122056148946285,100,9076.80308127026,1728.8422095578,0.06325,9032.10474468134,868.236198329548,0.49676,0.225784763693809,9003.33267962973,1737.84023691858,0.62739,8.41572673618794,3.2810111567378,9054.33071409041,584.654714363355,0.31835,3.39842510968447,8985.16542042838,2153.47544003069,0.73441,14.6293873339891
2925,25,128,4,0.095348134636879,10,7127.74831231697,322.032456486233,0.27748,6977.32422741681,1309.47043592543,0.98567,0.098858557641506,6976.15195626614,1584.61802524232,0.97799,0.121344991028309,0.25100489705801,7028.46757235125,481.547900033958,0.97284,0.254154160618782,6987.19632608033,1269.93818391206,0.98872,0.271054208278656,0.128151901066303,100,7130.28286030053,742.164199337278,0.10416,7050.12797936503,759.421279608952,0.88823,0.200434528291225,7038.76455817371,1117.09358543312,0.89823,2.71986305713654,2.67394288629293,7065.38343005979,277.9086265416,0.89243,2.74710814654827,7011.03842461782,1206.54631928945,0.9649,4.85913044214249
2925,25,1024,1,0.109444171190262,10,1055415.00991739,8612068.73176721,0.24564,1051719.68452921,6745986.82892226,0.35524,0.123768806457519,1051076.6516116,8626196.20663074,0.43871,0.454131223261356,1.02901913970709,1052670.77226007,4908904.94006585,0.27151,1.04283797740936,1051354.27651691,2323590.74951821,0.58216,1.31748948246241,0.195422075688839,68,1054237.60100015,6742112.49789735,0.07487,1055389.03214604,4716961.40909633,0.27498,0.318505391478539,1053294.03154932,6106801.66571566,0.14256,12.2707193642855,7.03731421381235,1056968.481075,4024187.02181435,0.51813,7.13354369997978,1052245.34134674,5021010.66376891,0.36958,12.6883898749948
2925,25,1024,4,0.108695015311241,8,365944.730520056,1816298.28390077,0.23123,365285.211022955,1470853.75739279,0.23039,0.115546174347401,365022.907813968,1434351.90747167,0.35183,0.183937720954418,0.750232703983784,364581.745788731,27780.2946693127,0.6773,0.768884368240833,364318.436142988,78101.533975487,0.69277,1.36558200418949,0.145563706755638,46,365963.251416452,2003165.82667677,0.04606,366477.526854466,1552009.61622405,0.22565,0.218670137226581,365831.542570991,1760261.62687156,0.04032,2.11577694863081,8.16135788708925,365759.402196214,1327295.89588828,0.17138,8.38292872160673,365209.077829351,1539449.9371081,0.29777,70.6603999882937
