r,s,n,nt,NB,MST,MLB,RND,M-U,MD-U,B-U,SB-U,W-U,SW-U,HM-U,SHM-U,GM-U,SGM-U,R-U,D-U,NC-U,SD-U,M-O,MD-O,B-O,W-O,HM-O,GM-O,R-O,D-O,NC-O,SD-O
32,1,4960,30,128,81541.77024000094,4747.617279999944,17839.024759999975,13394.094175999911,13831.302199999887,14514.067815999964,14514.067815999964,13758.436655999938,13758.436655999938,13372.8774239999,13437.474023999916,13834.491031999914,13413.9018799999,13906.20115999995,13185.850655999988,14043.476759999969,13762.56051999988,14544.327671999972,14548.335999999965,14514.067815999964,14548.335999999965,14715.805743999968,14441.96976799996,17696.133759999975,17077.94272799994,14376.16083199998,17077.94272799994
32,4,4960,30,128,81541.77024000094,4747.617279999944,14740.345623999989,10110.114383999986,9868.64925599998,10974.868759999994,10974.868759999994,10155.597135999991,10155.597135999991,10012.157319999977,10730.444039999971,12123.605927999955,10167.616831999994,11129.598063999982,9883.411648,11000.99924799999,10060.570056000011,11001.536359999986,10914.479303999986,10974.868759999994,10914.479303999986,10987.257487999994,10941.100359999984,14703.177207999986,14400.170615999992,12529.517215999991,14400.09733599999
32,1,7770,35,128,122245.2940800122,5551.549439999934,24999.574759999938,19961.040951999545,20052.60671199952,21337.40511999992,21337.40511999992,19827.123423999576,19827.123423999576,19367.66367199959,19870.93965599954,20569.048151999545,20181.38074399954,19965.47298399994,19337.43465599995,20379.488759999927,19986.458863999564,21256.28871199957,21176.259999999933,21337.40511999992,21176.259999999933,21247.237759999924,21279.091711999856,24803.646759999938,24214.105583999863,21098.378919999952,24214.105583999863
32,4,7770,35,128,122245.2940800122,5551.549439999934,19905.481087999957,13813.031527999972,13785.777912000012,15701.319759999957,15701.319759999957,14055.815487999953,14055.815487999953,13964.739959999912,14965.659983999942,17867.774711999933,13864.315911999984,14956.592040000016,13642.188447999995,15744.377247999952,14005.412503999962,15841.747111999955,15704.440543999945,15701.319759999957,15704.440543999945,15775.33323999995,15840.55835999995,19851.16434399995,19471.534471999952,17504.784919999984,19514.80314399992
32,1,11480,40,128,174467.87072003394,6355.481599999925,34476.5159519999,28555.817015999084,27852.822311999094,29808.86012799986,29808.86012799986,28369.074807999088,28369.074807999088,27957.11231999909,28130.55052799909,28495.676039999104,28263.24513599912,28230.048815999893,27597.48249599989,28485.49063199936,28100.103711999094,29378.51705599916,29501.583815999827,29808.86012799986,29501.583815999827,29389.70510399982,29390.110767999868,34450.885863999894,33476.3326639998,30022.123831999816,33476.3326639998
32,4,11480,40,128,174467.87072003394,6355.481599999925,26621.63431199997,19468.49719999963,18905.96574399964,21691.911759999904,21691.911759999904,19199.019127999614,19199.019127999614,19314.950607999595,20012.68961599991,24651.3738159999,19105.41287999964,21129.226231999848,18801.01219199996,21152.55869599986,19200.52057599967,21661.97978399989,21620.848615999872,21691.911759999904,21620.848615999872,21944.41980799989,21787.2884639999,26550.918311999965,25989.447663999872,23886.904759999947,25850.40872799981
32,1,16215,45,128,239624.1561600624,7261.338065456437,46090.275951999945,38831.09987999855,38726.35022399855,41098.43145599945,41098.43145599945,38522.44899199857,38522.44899199857,38524.000231998536,38570.86416799858,38787.19567199855,38573.6457519986,38923.125207999925,37951.58567199991,38901.04641599884,38807.97547199855,40135.71976799982,40079.000999999815,41098.43145599945,40079.000999999815,40094.76176799982,40035.43617599982,45874.67075999996,45169.07929599978,41712.57745599975,45169.07929599978
32,4,16215,45,128,239624.1561600624,7159.413759999915,34883.29706399981,25918.762967999304,25747.428359999263,29246.69777599976,29246.69777599976,25813.29006399925,25813.29006399925,26102.848583999243,26421.962991999884,33414.010447999775,25884.66399999924,27731.677911999766,25344.01743999992,27597.45511199987,25842.56032799928,28403.711575999678,28649.230191999846,29246.69777599976,28649.230191999846,28699.8009119998,28623.69101599959,34811.428223999814,34053.657719999646,32060.76487199985,34021.69027999967
32,1,22100,50,128,319128.806400109,9670.569890912397,60564.43658399992,51758.79171999789,51622.51923199784,54258.92681599976,54258.92681599976,51667.887975997866,51667.887975997866,51170.75367999786,51176.02399199785,52643.00676799781,51646.601815997885,51802.55875999999,51007.45967199987,52613.8223279978,51351.58770399784,53365.20376799979,53413.6423199995,54258.92681599976,53413.6423199995,53347.361759999774,53402.56579199971,60504.12255999994,59437.88911999964,56048.62531199957,59437.88911999964
32,4,22100,50,128,319128.806400109,8864.689066669695,45056.720063999855,34125.989895998806,33878.081695998815,38092.225727999736,38092.225727999736,34171.935583998806,34171.935583998806,34079.0344959988,34534.00015199875,44269.71927199984,33980.11511999879,35090.96182399987,33474.63918399987,36035.54272799941,33863.54948799882,37014.31075999965,36682.52387999979,38092.225727999736,36682.52387999979,36833.80043999901,36722.54680799974,44871.64640799986,43448.211415999736,41280.3916559999,43309.17247999967
32,1,35,5,1024,23743.288759999978,11265.66904799998,23743.288759999978,23743.288759999985,23743.288759999985,23743.28875999998,23743.28875999998,23743.28875999998,23743.28875999998,23743.288759999978,23743.288759999978,23743.288759999978,23743.28875999998,23743.28875999998,23743.288759999985,23743.288759999978,23743.28875999998,23743.288759999978,23743.288759999978,23743.28875999998,23743.288759999978,23743.288759999978,23743.288759999978,23743.288759999978,23743.288759999978,23743.28875999998,23743.288759999978
32,4,35,5,1024,23743.288759999978,11265.66904799998,21860.87517599999,20777.941408,20777.941408,19185.35679200001,19185.35679200001,21103.938735999924,21103.938735999924,19185.35679200001,19185.35679200001,19185.35679200001,23719.172103999896,20777.941408,20777.941408,19185.35679200001,21103.938735999924,19185.35679200001,19185.35679200001,19185.35679200001,19185.35679200001,19981.76075999997,19185.35679200001,21860.87517599999,20969.497008,19185.35679200001,20969.497008
32,1,220,10,1024,125515.55272000004,23866.97300799996,125515.55272000004,117035.2090799999,117035.2090799999,116031.42939999996,116031.42939999996,117035.2090799999,117035.2090799999,117311.44350400008,118228.05960000004,117651.88385600006,117035.2090799999,118392.23284800009,117035.2090799999,116031.42939999996,117035.2090799999,119472.87984000002,119472.87984000002,116031.42939999996,119472.87984000002,119286.66995199992,119472.87984000002,125515.55272000004,125515.55272000004,116645.73489599997,125515.55272000004
32,4,220,10,1024,125515.55272000004,23866.97300799996,72456.95430400001,53338.832592000006,53338.832592000006,47468.71603999998,47468.71603999998,51102.430808000056,51102.430808000056,49800.04748799996,48592.953064000045,48731.68358400005,55418.26359199989,57478.82572800001,53338.832592000006,49483.91961599995,51102.430808000056,53422.85414400008,54388.28518400006,47468.71603999998,54388.28518400006,52708.740168,52950.73321600007,72456.95430400001,71669.89450400004,47667.66472000006,72348.02591200008
32,1,680,15,1024,361114.4198800015,36468.27696799994,350797.09972000145,302103.0575120008,302103.0575120008,293615.8384720005,293615.8384720005,302130.4197200008,302130.4197200008,298370.10852000065,299314.0868240007,297766.57056800055,302494.7141200008,305082.3279440008,302494.7141200008,294089.5817040005,302130.4197200008,301456.1902880006,301456.1902880006,293615.8384720005,301456.1902880006,299459.41610400035,301037.17147200066,350797.09972000145,350797.09972000145,289653.8568000003,350797.09972000145
32,4,680,15,1024,361114.4198800015,36468.27696799994,156683.46261599983,107158.3644400001,107440.97209600014,111157.78787200002,111157.78787200002,107483.82702399995,107483.82702399995,114026.02064800003,109498.120056,112751.20145599998,110133.30125599992,114768.44359200013,107919.60736800016,108855.60011200007,107510.82278399996,114791.21864000012,116709.1839040002,111157.78787200002,116709.1839040002,111302.26062400008,112222.86488800016,156683.46261599983,155896.40281599987,109135.263936,156676.7283119999
32,1,1540,20,1024,786337.518239997,49069.58092799991,695780.0963919971,627465.4004079994,627410.6759919995,614035.8848640005,614035.8848640005,606327.8077920001,606327.8077920001,620351.7038079997,622689.5495999997,616728.3681599998,624265.1273359996,615494.7463679997,625730.5569679997,614431.0496320003,602871.4534400002,587035.1567360002,584392.0083840005,614035.8848640005,584392.0083840005,589389.6565440005,589515.5548639991,695780.0963919971,694240.0023919973,572230.1917760002,694240.0023919973
