r,s,n,N,NB,MST,MLB,RND,M-U,MD-U,B-U,SB-U,W-U,SW-U,HM-U,SHM-U,GM-U,SGM-U,R-U,D-U,NC-U,SD-U,M-O,MD-O,B-O,W-O,HM-O,GM-O,R-O,D-O,NC-O,SD-O
32,1,4960,30,128,81541.770240001,4747.61727999994,17839.02476,13394.0941759999,13831.3021999999,14514.067816,14514.067816,13758.4366559999,13758.4366559999,13372.8774239999,13437.4740239999,13834.4910319999,13413.9018799999,13906.20116,13185.850656,14043.47676,13762.5605199999,14544.327672,14548.336,14514.067816,14548.336,14715.805744,14441.969768,17696.13376,17077.9427279999,14376.160832,17077.9427279999
32,4,4960,30,128,81541.770240001,4747.61727999994,14740.345624,10110.114384,9868.64925599998,10974.86876,10974.86876,10155.597136,10155.597136,10012.15732,10730.44404,12123.605928,10167.616832,11129.598064,9883.411648,11000.999248,10060.570056,11001.53636,10914.479304,10974.86876,10914.479304,10987.257488,10941.10036,14703.177208,14400.170616,12529.517216,14400.097336
32,1,7770,35,128,122245.294080012,5551.54943999993,24999.5747599999,19961.0409519995,20052.6067119995,21337.4051199999,21337.4051199999,19827.1234239996,19827.1234239996,19367.6636719996,19870.9396559995,20569.0481519995,20181.3807439995,19965.4729839999,19337.434656,20379.4887599999,19986.4588639996,21256.2887119996,21176.2599999999,21337.4051199999,21176.2599999999,21247.2377599999,21279.0917119999,24803.6467599999,24214.1055839999,21098.37892,24214.1055839999
32,4,7770,35,128,122245.294080012,5551.54943999993,19905.481088,13813.031528,13785.777912,15701.31976,15701.31976,14055.815488,14055.815488,13964.7399599999,14965.6599839999,17867.7747119999,13864.315912,14956.59204,13642.188448,15744.377248,14005.412504,15841.747112,15704.4405439999,15701.31976,15704.4405439999,15775.33324,15840.55836,19851.164344,19471.534472,17504.78492,19514.8031439999
32,1,11480,40,128,174467.870720034,6355.48159999992,34476.5159519999,28555.8170159991,27852.8223119991,29808.8601279999,29808.8601279999,28369.0748079991,28369.0748079991,27957.1123199991,28130.5505279991,28495.6760399991,28263.2451359991,28230.0488159999,27597.4824959999,28485.4906319994,28100.1037119991,29378.5170559992,29501.5838159998,29808.8601279999,29501.5838159998,29389.7051039998,29390.1107679999,34450.8858639999,33476.3326639998,30022.1238319998,33476.3326639998
32,4,11480,40,128,174467.870720034,6355.48159999992,26621.634312,19468.4971999996,18905.9657439996,21691.9117599999,21691.9117599999,19199.0191279996,19199.0191279996,19314.9506079996,20012.6896159999,24651.3738159999,19105.4128799996,21129.2262319998,18801.012192,21152.5586959999,19200.5205759997,21661.9797839999,21620.8486159999,21691.9117599999,21620.8486159999,21944.4198079999,21787.2884639999,26550.918312,25989.4476639999,23886.9047599999,25850.4087279998
32,1,16215,45,128,239624.156160062,7261.33806545644,46090.2759519999,38831.0998799985,38726.3502239985,41098.4314559995,41098.4314559995,38522.4489919986,38522.4489919986,38524.0002319985,38570.8641679986,38787.1956719985,38573.6457519986,38923.1252079999,37951.5856719999,38901.0464159988,38807.9754719985,40135.7197679998,40079.0009999998,41098.4314559995,40079.0009999998,40094.7617679998,40035.4361759998,45874.67076,45169.0792959998,41712.5774559998,45169.0792959998
32,4,16215,45,128,239624.156160062,7159.41375999992,34883.2970639998,25918.7629679993,25747.4283599993,29246.6977759998,29246.6977759998,25813.2900639993,25813.2900639993,26102.8485839992,26421.9629919999,33414.0104479998,25884.6639999992,27731.6779119998,25344.0174399999,27597.4551119999,25842.5603279993,28403.7115759997,28649.2301919998,29246.6977759998,28649.2301919998,28699.8009119998,28623.6910159996,34811.4282239998,34053.6577199996,32060.7648719999,34021.6902799997
32,1,22100,50,128,319128.806400109,9670.5698909124,60564.4365839999,51758.7917199979,51622.5192319978,54258.9268159998,54258.9268159998,51667.8879759979,51667.8879759979,51170.7536799979,51176.0239919979,52643.0067679978,51646.6018159979,51802.55876,51007.4596719999,52613.8223279978,51351.5877039978,53365.2037679998,53413.6423199995,54258.9268159998,53413.6423199995,53347.3617599998,53402.5657919997,60504.1225599999,59437.8891199996,56048.6253119996,59437.8891199996
32,4,22100,50,128,319128.806400109,8864.68906666969,45056.7200639999,34125.9898959988,33878.0816959988,38092.2257279997,38092.2257279997,34171.9355839988,34171.9355839988,34079.0344959988,34534.0001519987,44269.7192719998,33980.1151199988,35090.9618239999,33474.6391839999,36035.5427279994,33863.5494879988,37014.3107599996,36682.5238799998,38092.2257279997,36682.5238799998,36833.800439999,36722.5468079997,44871.6464079999,43448.2114159997,41280.3916559999,43309.1724799997
