n,N,nb,s,CPM,CPM TIME,SCULLI MU,SCULLI VAR,SCULLI TIME,SCULLI-R MU,SCULLI-R VAR,SCULLI-R TIME,CORLCA MU,CORLCA VAR,CORLCA TIME,CORLCA-R MU,CORLCA-R VAR,CORLCA-R TIME,K LOWER MU,K UPPER MU,K LOWER VAR,K UPPER VAR,K TIME
7770,35,1024,1,2616836.24624019,0.056183628737927,2619653.31520865,106369.501518191,0.158228985965252,2619605.80523454,1943054.60279211,0.480732746422291,2618011.99252195,3201813.39897913,1.87625062465668,2618648.99851232,3735063.22095617,2.56163799762726,2616836.24624019,2882329.56809228,3.76197179739736,77639170.6163331,0.296066328883171
7770,35,1024,4,895192.319279998,0.057454042136669,905730.716683067,46818.6932906514,0.161832168698311,904107.551159665,1334437.44288,0.537956193089485,901601.436458906,5032733.52544397,0.877520643174648,902491.566427235,2693389.36548742,1.44599511474371,895919.467645345,1047995.52834567,3.76197179739736,18761368.4271142,0.296304956078529
11480,40,128,1,28555.8170159991,0.085526123642922,28790.7021589865,139.597364008147,0.235115244984627,28779.1272960217,87.1875750391213,0.707218162715435,28731.3261341312,1444.33698028298,0.815753549337387,28709.8156643525,1325.39865356371,1.60965080559254,28572.599221887,34155.7184284495,0.562254008504504,23544.2000308481,0.429607778787613
11480,40,128,4,19468.4971999996,0.087021499872208,19811.8275951634,128.959508359153,0.240341626107693,19824.5798198762,39.3295619456497,0.811140060424805,19743.6673143195,624.914090990741,0.754851900041103,19781.7689735719,257.250957485887,1.6837302967906,19547.6993733266,27732.2690051911,0.562254008504504,15411.8425416801,0.435845904052258
11480,40,1024,1,3807331.7953928,0.090401746332646,3814040.83473565,104450.854057253,0.291538067162037,3815634.47228737,3859081.55689367,0.733829170465469,3811267.36661681,3427078.84819788,3.73542226105928,3812467.12305542,10571224.1936124,5.65539108216763,3807331.7953928,4178493.27360949,3.76197179739736,112577604.652358,0.435621835291386
11480,40,1024,4,1281817.513216,0.087989926338196,1288522.12965968,35371.5615767842,0.245740473270416,1288990.75786868,211596.855233516,1.13729374110699,1286472.95462549,1060489.43267053,2.68711425364017,1286519.76308704,1633248.52491125,2.37726589292288,1281942.60561304,1520671.83440087,3.76197179739736,29081872.9632972,0.444068685173988
16215,45,128,1,38831.0998799985,0.128017500042915,39080.229766742,172.41177982064,0.34528549015522,39069.1826824101,86.9901726810662,1.02948991209269,39020.2208413703,1375.5662674305,1.54037385433912,39000.9310455113,712.856989440176,2.69208338111639,38845.0163811763,46326.9715695053,0.562254008504504,32963.1032191594,0.665585376322269
16215,45,128,4,25918.7629679993,0.161301106214523,26267.0035730579,100.036309420783,0.460421875119209,26279.1806625776,39.3269702760903,1.46313768625259,26211.6096997194,546.795301615912,1.53164005279541,26236.4894495278,229.508035954687,3.03584810346365,25993.4823976354,36634.0855555631,0.562254008504504,21181.3404319941,0.62823711335659
16215,45,1024,1,5364823.0930256,0.130714990198612,5370233.28197186,106252.479057253,0.416497431695461,5375037.32329245,5254802.52369055,1.15432257205248,5368599.95475908,3242183.47905725,8.68868344277144,5371226.13429258,16806939.140878,11.0019924119115,5364823.0930256,5851102.68148464,3.76197179739736,158836274.00452,0.622953802347183
16215,45,1024,4,1755768.95604001,0.130388498306274,1773340.63481447,81391.357963503,0.492793239653111,1773100.96160916,357382.32154211,1.50821463763714,1766988.30444454,9400516.32280725,4.46272613108158,1769194.26149192,4127541.82105383,3.34033533930778,1757201.51718768,2074502.63354371,3.76197179739736,44909888.2835096,0.652614623308182
22100,50,128,1,51758.7917199979,0.179985545575619,52058.1647590395,136.345159713283,0.489141657948494,52072.7844648533,87.1542997925011,1.44272791594267,52022.1737645909,434.036235038295,2.78189449757338,51993.7790728286,1401.87806468889,4.49289631843567,51772.4660577788,61444.7576079514,9.56809209209209,44737.671888279,0.850507952272892
22100,50,128,4,34125.9898959988,0.183429189026356,34477.7427637523,113.101986109931,0.583589270710945,34488.5376644034,39.3295944301811,1.62349670380354,34419.5115938101,536.388417184073,2.85049049556255,34443.5614759366,221.867971715185,5.69875107705593,34196.3657782122,47952.3766112557,0.562254008504504,30721.4151335231,0.869518682360649
22100,50,1024,1,7286400.81158659,0.18261993676424,7295952.36329623,106036.760307253,0.487820990383625,7304190.99028321,8068742.6057218,1.75670785456896,7294129.35260605,3343238.76030725,16.7977383807302,7303255.66387113,9553326.2150968,20.8758690059185,7286400.81158659,7904261.06301401,3.76197179739736,211607594.157169,0.86493568867445
22100,50,1024,4,2374362.79724009,0.182351589202881,2388428.44931978,22904.141166628,0.494215942919254,2388164.19669409,689308.27466711,1.93339633196592,2379952.1056258,3113511.77495569,9.23135120421648,2383729.81964942,4039851.0979093,11.7318553701043,2374471.69980858,2827448.15228223,3.76197179739736,63897120.0436049,0.996284641325474
