n,r,s,CCR,NAME,RUN,MLB,MST,EFT,NC,NC TIME,OL-I,OL-I TIME,OL-II,OL-II TIME,GCP,GCP TIME,HAL,HAL TIME
1002,32,4,0.01,173,6,271.59677949675057,1033.1263657508957,280.4270234246693,281.88137496533096,1.0395850929613104,280.4270234246693,1.2299039330920796,280.4270234246693,1.181932575898671,280.4270234246693,1.0181454160445713,280.4270234246693,1.0691266561664892
1002,32,4,0.01,173,7,249.49252935825925,999.5864680851339,262.7865312845198,266.8971486631998,0.9965746412179444,262.7865312845198,1.2280540049024136,262.7865312845198,1.1804632552160725,262.7865312845198,1.0235831416287582,262.7865312845198,1.074870950214824
1002,32,4,0.01,173,8,256.74244502457867,975.032427622286,271.32010615736556,274.38750018627223,0.9997535668712929,271.32010615736556,1.2307949091524402,271.32010615736556,1.1822472419367132,271.32010615736556,1.0221864057632348,271.32010615736556,1.0758737012559403
1002,32,4,0.01,173,9,266.300245052267,1042.6415357867259,279.83551585895606,281.21593772846535,0.9992882697184088,279.83551585895606,1.2357791780080962,279.83551585895606,1.1713658337024342,279.83551585895606,1.0118846095666922,279.83551585895606,1.0665091358965029
1002,32,4,0.1,173,0,271.06845049492955,1003.6614053648204,294.0817576562622,294.759301425207,1.002213497639522,294.0817576562622,1.235898155285418,294.0763734165563,1.1841917350983908,294.0817576562622,1.0205098552250338,294.0763734165563,1.0759775003717318
1002,32,4,0.1,173,1,259.90725089291175,991.1837549374924,273.82412518125335,275.19902387194907,1.050184533842732,273.82412518125335,1.2516756271460197,273.82412518125335,1.1411979116333137,273.88403045214,1.02407967300347,273.82412518125335,1.0354878148664677
1002,32,4,0.1,173,2,269.1548470182587,965.6235484836516,275.0671056475173,275.9739746982855,1.036555990977762,275.0671056475173,1.2262240033683938,275.0671056475173,1.1718483390045917,273.55961846028094,1.0127607380290273,275.0671056475173,1.118541026976123
1002,32,4,0.1,173,3,261.0449675787309,1044.0252475344403,282.48779631351454,282.89723349951436,0.9991217410229758,282.48779631351454,1.2914189668886744,282.48779631351454,1.178021211418942,282.48779631351454,1.0143027400264601,282.48779631351454,1.070179665713269
1002,32,4,0.1,173,4,261.03532635454974,1039.49885872764,272.44039136090026,274.8090226823234,1.0024095420729922,272.44039136090026,1.233464052825622,272.44039136090026,1.2066342669157792,272.44039136090026,1.0222703457616635,272.44039136090026,1.0755225736122518
1002,32,4,0.1,173,5,230.68148612959683,973.5858505957251,251.28429820844903,258.73110761450727,1.0725629255899498,251.28429820844903,1.2258359722976566,251.28294311912714,1.1749987190710902,251.2675918093033,1.010458294285358,251.28429820844903,1.22310274907133
1002,32,4,0.1,173,6,252.30600376016184,991.5588230974274,265.63007624823535,268.1586445785459,0.9993157874227753,265.63007624823535,1.3171756742191323,265.63007624823535,1.17420550048488,265.63007624823535,1.0174872997479965,265.63007624823535,1.068937480188981
