n,r,s,CCR,DAG,RUN,MLB,MST,HEFT,AUT,AUT PTI
1002,32,1,0.1,67,1,68.5242163186669,1020.52588296953,351.518568812007,352.165880771842,66.5898662343925
1002,32,1,0.1,67,2,67.3941490663653,980.594268518368,350.519396739758,353.191631881991,68.5877689785138
1002,32,1,0.1,67,3,72.7614274473651,1018.48929934015,326.019756932753,326.878960832889,67.9658021678991
1002,32,1,0.1,67,4,69.2300665318926,1055.66673910301,331.752128411694,333.821639725266,67.8171405250076
1002,32,1,0.1,67,5,76.6087942827898,1000.70625898503,347.405805018823,347.015125383679,67.4036744283228
1002,32,1,0.1,67,6,66.4575385218384,1008.84995538695,353.013572977196,353.455605536388,68.513631460238
1002,32,1,0.1,67,7,65.8461887574806,1039.82725396488,350.783758843596,352.257286065571,68.1384265926134
1002,32,1,0.1,67,8,71.1722388314146,1006.81293694209,338.911219668802,342.104006784861,67.8720162551648
1002,32,1,0.1,67,9,71.0073375443301,1004.00078975037,336.557974967815,336.365618219118,67.5361910426082
1002,32,1,1,67,0,72.6277668378106,945.451122395389,531.756594384587,518.825763262712,48.4444064625901
1002,32,1,1,67,1,64.0308670154443,999.963713327013,599.887293694577,557.769951295918,45.5643322654961
1002,32,1,1,67,2,71.2670926795693,1031.26373006746,550.733284140367,542.598654335576,50.7618844107899
1002,32,1,1,67,3,71.9874968649902,1051.44110402482,533.186092055278,527.312267370008,50.6427414568763
1002,32,1,1,67,4,67.4733046174145,974.8195151899,556.671841475121,545.095393831688,49.2839426874766
1002,32,1,1,67,5,64.9359599228527,974.309975355846,515.299753137231,499.240055957816,49.7019764730979
1002,32,1,1,67,6,60.8185643359049,947.814715547034,477.481224687355,477.898428387362,50.2245020178066
1002,32,1,1,67,7,69.0753630595801,1006.62564288988,538.433985014718,534.082310033424,48.4380950125256
1002,32,1,1,67,8,71.0612933078876,1067.87094052339,591.266807667279,566.010557609569,50.1563364649555
1002,32,1,1,67,9,66.8973316336214,1011.78513469525,581.49574690262,534.247183031543,61.0744058611286
1002,32,1,10,67,0,69.2575135111246,1007.29026388674,1779.60668207348,1718.391962583,19.367085940695
